,app_name,exercise_segment,facility,fromhost_ip,hostname,message,procid,programname,severity,timegenerated,timereported,timestamp
98237,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:27:00 | 200 #033[0m|    1.007835ms |       10.4.2.27 |  GET #033[0m    /api/v1/incidents,25466.0,gendpoint,6,2019-03-19T11:27:00.827592+01:00,2019-03-19T11:27:00+01:00,1552991220827
31798,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:08:51+01:00"" level=info msg=""10.1.2.27 - global-app [19/Mar/2019:11:08:51 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (5ms)"" clientIP=10.1.2.27 dataLength=2 hostname=global-app latency=5 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25367.0,gendpoint,6,2019-03-19T11:08:51.980063+01:00,2019-03-19T11:08:51+01:00,1552990131980
56740,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:15:46+01:00"" level=info msg=""10.3.2.27 - global-app [19/Mar/2019:11:15:46 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (8ms)"" clientIP=10.3.2.27 dataLength=1452 hostname=global-app latency=8 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25433.0,gendpoint,6,2019-03-19T11:15:46.445458+01:00,2019-03-19T11:15:46+01:00,1552990546445
89313,apache-global-web,global,16,10.7.100.2,global-web," 10.4.3.33 - - [19/Mar/2019:11:24:34 +0100] govcert.ex ""GET / HTTP/1.1"" 200 100884 ""-"" ""-"" 63 443",,apache-global-web,6,2019-03-19T11:24:34.898636+01:00,2019-03-19T11:24:34+01:00,1552991074898
15813,sudo,blue-team-5,10,10.7.105.44,desktop3, pam_unix(sudo:session): session opened for user root by (uid=0),,sudo,6,2019-03-19T11:04:22.444444+01:00,2019-03-19T11:04:22+01:00,1552989862444
172162,apache-global-web,global,16,10.7.100.2,global-web," 172.16.1.1 - - [19/Mar/2019:11:46:47 +0100] chmelglobe.ex ""GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1 HTTP/1.1"" 200 4481 ""https://chmelglobe.ex/"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.75 Safari/537.36"" 0 443",,apache-global-web,6,2019-03-19T11:46:47.074692+01:00,2019-03-19T11:46:47+01:00,1552992407074
61464,CRON,blue-team-4,10,10.7.104.45,desktop4, pam_unix(cron:session): session closed for user root,8576.0,CRON,6,2019-03-19T11:17:01.739427+01:00,2019-03-19T11:17:01+01:00,1552990621739
165257,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:45:01+01:00"" level=info msg=""10.5.2.27 - global-app [19/Mar/2019:11:45:01 +0100] \""GET /api/v1/units/status\"" 200 1452 \""\"" \""Go-http-client/1.1\"" (10ms)"" clientIP=10.5.2.27 dataLength=1452 hostname=global-app latency=10 method=GET path=/api/v1/units/status referer= statusCode=200 userAgent=Go-http-client/1.1",25498.0,gendpoint,6,2019-03-19T11:45:01.558686+01:00,2019-03-19T11:45:01+01:00,1552992301558
104727,postfix,blue-team-2,2,10.7.102.12,mail, lost connection after CONNECT from unknown[10.0.4.43],22373.0,postfix,6,2019-03-19T11:28:52.746127+01:00,2019-03-19T10:29:26+01:00,1552991332746
130308,sudo,blue-team-5,10,10.7.105.45,desktop4,   nagios : problem with defaults entries ; TTY=unknown ; PWD=/ ;,,sudo,1,2019-03-19T11:35:48.232316+01:00,2019-03-19T11:35:48+01:00,1552991748232
154378,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:42:24 | 200 #033[0m|     471.189µs |       10.1.2.27 |  GET #033[0m    /api/v1/stratum-one,25367.0,gendpoint,6,2019-03-19T11:42:24.007232+01:00,2019-03-19T11:42:24+01:00,1552992144007
159123,gendpoint,global,3,10.7.100.7,global-app," time=""2019-03-19T11:43:36+01:00"" level=info msg=""10.4.2.27 - global-app [19/Mar/2019:11:43:36 +0100] \""GET /api/v1/connection-check\"" 200 2 \""\"" \""Go-http-client/1.1\"" (4ms)"" clientIP=10.4.2.27 dataLength=2 hostname=global-app latency=4 method=GET path=/api/v1/connection-check referer= statusCode=200 userAgent=Go-http-client/1.1",25466.0,gendpoint,6,2019-03-19T11:43:36.528923+01:00,2019-03-19T11:43:36+01:00,1552992216528
12063,gendpoint,global,3,10.7.100.7,global-app, [GIN] 2019/03/19 - 11:03:17 | 200 #033[0m|    3.673783ms |       10.1.2.27 |  GET #033[0m    /api/v1/connection-check,25367.0,gendpoint,6,2019-03-19T11:03:17.644500+01:00,2019-03-19T11:03:17+01:00,1552989797644
